É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2024/10/13 09:28:46

,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs
2016/7/23,62,8,1,1012.2,8,1,0,1,8,1,27.3,8,1,32.7,8,1,23.6,8,1
2016/7/24,63,8,1,1013.6,8,1,0,1,8,1,27.3,8,1,32.0,8,1,23.4,8,1
2016/7/25,66,8,1,1013.2,8,1,0.0,0,8,1,27.2,8,1,30.3,8,1,25.2,8,1
2016/7/26,84,8,1,1010.3,8,1,19.5,0,8,1,25.2,8,1,27.4,8,1,23.5,8,1
2016/7/27,72,8,1,1009.0,8,1,0.0,0,8,1,27.9,8,1,33.9,8,1,24.3,8,1
2016/7/28,72,8,1,1010.9,8,1,0.5,0,8,1,28.3,8,1,32.1,8,1,25.0,8,1
2016/7/29,61,8,1,1012.4,8,1,0,1,8,1,29.2,8,1,34.6,8,1,24.8,8,1
2016/7/30,56,8,1,1012.3,8,1,0,1,8,1,29.8,8,1,35.5,8,1,25.2,8,1
2016/7/31,67,8,1,1010.8,8,1,13.0,0,8,1,28.8,8,1,36.2,8,1,25.5,8,1
2016/8/1,63,8,1,1008.7,8,1,0,1,8,1,29.5,8,1,35.3,8,1,24.6,8,1
2016/8/2,64,8,1,1007.7,8,1,0.0,0,8,1,28.6,8,1,34.6,8,1,24.5,8,1
2016/8/3,64,8,1,1008.3,8,1,0.0,0,8,1,28.6,8,1,34.7,8,1,24.0,8,1
2016/8/4,59,8,1,1009.1,8,1,0.0,0,8,1,29.8,8,1,35.8,8,1,24.6,8,1
2016/8/5,59,8,1,1009.7,8,1,0,1,8,1,30.9,8,1,37.1,8,1,27.2,8,1
2016/8/6,63,8,1,1008.7,8,1,0.0,0,8,1,30.8,8,1,37.9,8,1,26.9,8,1
2016/8/7,56,8,1,1008.1,8,1,0,1,8,1,31.3,8,1,37.1,8,1,26.5,8,1
2016/8/8,58,8,1,1005.3,8,1,0,1,8,1,30.4,8,1,36.3,8,1,25.8,8,1
2016/8/9,59,8,1,1006.0,8,1,0,1,8,1,29.9,8,1,35.3,8,1,26.3,8,1
2016/8/10,52,8,1,1009.0,8,1,0,1,8,1,28.4,8,1,34.7,8,1,24.1,8,1
2016/8/11,51,8,1,1009.2,8,1,0,1,8,1,27.9,8,1,36.1,8,1,21.8,8,1
2016/8/12,58,8,1,1007.9,8,1,0,1,8,1,29.5,8,1,36.1,8,1,23.4,8,1
2016/8/13,59,8,1,1006.7,8,1,0,1,8,1,30.7,8,1,37.1,8,1,25.6,8,1
2016/8/14,70,8,1,1004.1,8,1,1.0,0,8,1,29.5,8,1,35.4,8,1,26.7,8,1
2016/8/15,73,8,1,1002.0,8,1,23.5,0,8,1,28.0,8,1,34.8,8,1,25.4,8,1
2016/8/16,70,8,1,1000.7,8,1,28.5,0,8,1,29.3,8,1,35.4,8,1,25.6,8,1
2016/8/17,73,8,1,1001.4,8,1,0.0,0,8,1,28.1,8,1,32.3,8,1,24.9,8,1
2016/8/18,65,8,1,1005.1,8,1,0.0,0,8,1,29.5,8,1,34.3,8,1,25.4,8,1
2016/8/19,65,8,1,1005.8,8,1,0,1,8,1,30.3,8,1,36.5,8,1,25.7,8,1
2016/8/20,62,8,1,1003.8,8,1,0.0,0,8,1,30.5,8,1,36.0,8,1,26.2,8,1
2016/8/21,59,8,1,1004.3,8,1,0,1,8,1,30.9,8,1,35.6,8,1,27.8,8,1
2016/8/22,62,8,1,1002.4,8,1,0,1,8,1,30.3,8,1,36.1,8,1,26.9,8,1
2016/8/23,58,8,1,1005.1,8,1,0.0,0,8,1,29.6,8,1,35.0,8,1,26.7,8,1
2016/8/24,61,8,1,1006.6,8,1,0.0,0,8,1,29.7,8,1,35.2,8,1,25.6,8,1
2016/8/25,63,8,1,1006.5,8,1,0.0,0,8,1,30.3,8,1,35.0,8,1,27.2,8,1
2016/8/26,64,8,1,1005.0,8,1,0.5,0,8,1,29.0,8,1,35.6,8,1,24.9,8,1
2016/8/27,68,8,1,1005.2,8,1,0.0,0,8,1,26.0,8,1,30.2,8,1,23.6,8,1
2016/8/28,72,8,1,999.8,8,1,3.0,0,8,1,25.5,8,1,30.0,8,1,22.5,8,1
2016/8/29,80,8,1,992.2,8,1,78.0,0,8,1,25.2,8,1,29.1,8,1,20.9,8,1
2016/8/30,64,8,1,992.1,8,1,14.0,0,8,1,24.1,8,1,28.9,8,1,20.2,8,1
2016/8/31,52,8,1,999.3,8,1,0.0,0,8,1,26.5,8,1,31.9,8,1,21.1,8,1
2017/6/1,64,8,1,999.4,8,1,17.5,0,8,1,23.7,8,1,30.2,8,1,18.0,8,1
2017/6/2,58,8,1,1001.4,8,1,0.0,0,8,1,19.8,8,1,24.9,8,1,15.2,8,1
2017/6/3,54,8,1,1006.9,8,1,0.0,0,8,1,18.1,8,1,23.6,8,1,13.7,8,1
2017/6/4,47,8,1,1010.2,8,1,0,1,8,1,19.1,8,1,25.3,8,1,13.5,8,1
2017/6/5,46,8,1,1014.9,8,1,0,1,8,1,19.8,8,1,26.5,8,1,12.8,8,1
2017/6/6,47,8,1,1018.1,8,1,0,1,8,1,21.5,8,1,28.2,8,1,14.2,8,1
2017/6/7,84,8,1,1014.1,8,1,25.5,0,8,1,19.3,8,1,21.2,8,1,17.9,8,1
2017/6/8,75,8,1,1007.8,8,1,0.5,0,8,1,20.5,8,1,24.9,8,1,17.5,8,1
2017/6/9,56,8,1,1007.6,8,1,0,1,8,1,22.8,8,1,30.9,8,1,15.6,8,1
2017/6/10,55,8,1,1007.2,8,1,0,1,8,1,23.0,8,1,30.7,8,1,17.4,8,1
2017/6/11,46,8,1,1007.6,8,1,0,1,8,1,20.9,8,1,27.3,8,1,17.1,8,1
2017/6/12,56,8,1,1013.0,8,1,0,1,8,1,18.8,8,1,23.5,8,1,15.6,8,1
2017/6/13,56,8,1,1013.6,8,1,0,1,8,1,19.1,8,1,25.5,8,1,13.7,8,1
2017/6/14,44,8,1,1009.8,8,1,0,1,8,1,21.8,8,1,29.0,8,1,14.6,8,1
2017/6/15,44,8,1,1007.2,8,1,0,1,8,1,23.8,8,1,30.4,8,1,16.2,8,1
2017/6/16,51,8,1,1009.9,8,1,0.0,0,8,1,22.6,8,1,27.9,8,1,18.1,8,1
2017/6/17,53,8,1,1011.1,8,1,0,1,8,1,22.8,8,1,29.7,8,1,15.9,8,1
2017/6/18,57,8,1,1010.0,8,1,0,1,8,1,24.0,8,1,28.5,8,1,21.2,8,1
2017/6/19,44,8,1,1009.9,8,1,0,1,8,1,25.9,8,1,34.0,8,1,18.3,8,1
2017/6/20,48,8,1,1010.5,8,1,0.0,0,8,1,25.2,8,1,32.0,8,1,19.7,8,1
2017/6/21,84,8,1,1003.8,8,1,104.5,0,8,1,21.3,8,1,25.0,8,1,18.8,8,1
2017/6/22,64,8,1,1009.5,8,1,0,1,8,1,23.1,8,1,27.9,8,1,19.0,8,1
2017/6/23,58,8,1,1007.3,8,1,0,1,8,1,25.7,8,1,33.2,8,1,19.0,8,1
2017/6/24,61,8,1,1005.0,8,1,1.5,0,8,1,25.9,8,1,30.3,8,1,21.7,8,1
2017/6/25,81,8,1,1001.5,8,1,7.5,0,8,1,23.0,8,1,25.0,8,1,21.5,8,1
2017/6/26,62,8,1,1007.3,8,1,0.0,0,8,1,24.3,8,1,29.3,8,1,19.9,8,1
2017/6/27,65,8,1,1010.9,8,1,0.5,0,8,1,24.6,8,1,29.7,8,1,20.4,8,1
2017/6/28,77,8,1,1013.0,8,1,5.0,0,8,1,24.8,8,1,29.2,8,1,22.0,8,1
2017/6/29,70,8,1,1013.9,8,1,3.5,0,8,1,25.5,8,1,29.0,8,1,22.5,8,1
2017/6/30,83,8,1,1012.2,8,1,39.0,0,8,1,24.9,8,1,29.6,8,1,22.0,8,1
2017/7/1,75,8,1,1009.7,8,1,11.0,0,8,1,27.6,8,1,32.3,8,1,25.1,8,1
2017/7/2,80,8,1,1011.6,8,1,25.0,0,8,1,27.0,8,1,33.2,8,1,24.6,8,1
2017/7/3,71,8,1,1010.1,8,1,0,1,8,1,28.5,8,1,33.3,8,1,23.5,8,1
2017/7/4,79,8,1,1006.9,8,1,28.0,0,8,1,27.2,8,1,31.2,8,1,25.3,8,1
2017/7/5,87,8,1,1009.9,8,1,23.0,0,8,1,24.7,8,1,28.3,8,1,22.7,8,1
2017/7/6,67,8,1,1012.0,8,1,0,1,8,1,26.4,8,1,32.0,8,1,21.2,8,1
2017/7/7,73,8,1,1011.5,8,1,10.0,0,8,1,27.0,8,1,33.2,8,1,23.5,8,1
2017/7/8,74,8,1,1011.0,8,1,1.0,0,8,1,27.6,8,1,35.5,8,1,23.5,8,1
2017/7/9,82,8,1,1010.4,8,1,8.0,0,8,1,25.6,8,1,29.8,8,1,23.2,8,1
2017/7/10,74,8,1,1010.1,8,1,3.0,0,8,1,27.9,8,1,33.7,8,1,23.4,8,1
2017/7/11,65,8,1,1011.3,8,1,0,1,8,1,30.0,8,1,35.4,8,1,25.1,8,1
2017/7/12,69,8,1,1010.4,8,1,0.0,0,8,1,29.3,8,1,33.4,8,1,26.9,8,1
2017/7/13,63,8,1,1008.9,8,1,0.0,0,8,1,29.9,8,1,35.5,8,1,25.8,8,1
2017/7/14,65,8,1,1011.0,8,1,0.0,0,8,1,29.4,8,1,32.7,8,1,26.4,8,1
2017/7/15,61,8,1,1012.8,8,1,0,1,8,1,30.2,8,1,35.8,8,1,25.8,8,1
2017/7/16,73,8,1,1012.8,8,1,7.0,0,8,1,28.2,8,1,35.2,8,1,25.4,8,1
2017/7/17,75,8,1,1011.3,8,1,10.5,0,8,1,27.9,8,1,33.3,8,1,24.7,8,1
2017/7/18,77,8,1,1009.1,8,1,0.0,0,8,1,27.5,8,1,32.4,8,1,24.6,8,1
2017/7/19,71,8,1,1007.6,8,1,8.5,0,8,1,28.6,8,1,34.2,8,1,25.6,8,1
2017/7/20,62,8,1,1010.1,8,1,0,1,8,1,29.8,8,1,34.9,8,1,25.7,8,1
2017/7/21,66,8,1,1011.5,8,1,0.0,0,8,1,29.5,8,1,33.5,8,1,27.2,8,1
2017/7/22,65,8,1,1011.0,8,1,0.0,0,8,1,29.9,8,1,35.4,8,1,26.5,8,1
2017/7/23,70,8,1,1007.3,8,1,0.0,0,8,1,28.8,8,1,32.0,8,1,25.9,8,1
2017/7/24,69,8,1,1004.0,8,1,0,1,8,1,29.2,8,1,33.2,8,1,26.2,8,1
2017/7/25,80,8,1,1003.5,8,1,8.5,0,8,1,28.2,8,1,31.7,8,1,26.4,8,1
2017/7/26,67,8,1,1005.8,8,1,2.5,0,8,1,28.4,8,1,33.2,8,1,25.3,8,1
2017/7/27,71,8,1,1008.5,8,1,0.0,0,8,1,28.3,8,1,32.6,8,1,24.8,8,1
2017/7/28,77,8,1,1008.4,8,1,3.5,0,8,1,28.4,8,1,34.7,8,1,25.7,8,1
2017/7/29,69,8,1,1006.7,8,1,0.0,0,8,1,29.6,8,1,33.9,8,1,26.3,8,1
2017/7/30,72,8,1,1007.1,8,1,1.0,0,8,1,29.0,8,1,34.2,8,1,25.3,8,1
2017/7/31,70,8,1,1008.3,8,1,0.0,0,8,1,30.2,8,1,36.1,8,1,27.6,8,1
2017/8/1,64,8,1,1008.2,8,1,0.0,0,8,1,29.4,8,1,34.9,8,1,26.7,8,1
2017/8/2,63,8,1,1007.0,8,1,0,1,8,1,29.0,8,1,35.1,8,1,24.9,8,1
2017/8/3,66,8,1,1008.5,8,1,0.0,0,8,1,28.1,8,1,32.7,8,1,25.5,8,1
2017/8/4,68,8,1,1008.4,8,1,0,1,8,1,29.4,8,1,33.5,8,1,27.1,8,1
2017/8/5,73,8,1,1006.1,8,1,6.0,0,8,1,29.6,8,1,35.1,8,1,26.7,8,1
2017/8/6,71,8,1,1003.3,8,1,10.5,0,8,1,29.9,8,1,36.7,8,1,26.1,8,1
2017/8/7,84,8,1,991.6,8,1,63.5,0,8,1,27.1,8,1,29.4,8,1,25.3,8,1
2017/8/8,72,8,1,996.2,8,1,3.5,0,8,1,27.6,8,1,31.9,8,1,25.1,8,1
2017/8/9,63,8,1,998.4,8,1,0,1,8,1,29.9,8,1,35.7,8,1,24.4,8,1
2017/8/10,70,8,1,999.4,8,1,5.0,0,8,1,29.8,8,1,35.8,8,1,26.3,8,1
2017/8/11,69,8,1,1002.4,8,1,2.0,0,8,1,29.3,8,1,35.6,8,1,25.3,8,1
2017/8/12,64,8,1,1006.7,8,1,0.0,0,8,1,28.2,8,1,32.1,8,1,24.8,8,1
2017/8/13,62,8,1,1008.4,8,1,0,1,8,1,27.3,8,1,31.6,8,1,23.4,8,1
2017/8/14,67,8,1,1007.3,8,1,0.0,0,8,1,27.0,8,1,31.9,8,1,23.9,8,1
2017/8/15,86,8,1,1004.1,8,1,27.5,0,8,1,25.1,8,1,28.2,8,1,23.1,8,1
2017/8/16,76,8,1,1004.8,8,1,0.0,0,8,1,27.5,8,1,33.0,8,1,24.6,8,1
2017/8/17,70,8,1,1007.6,8,1,0,1,8,1,29.1,8,1,34.5,8,1,24.8,8,1
2017/8/18,73,8,1,1009.3,8,1,10.5,0,8,1,28.6,8,1,34.2,8,1,24.5,8,1
2017/8/19,65,8,1,1011.1,8,1,0,1,8,1,28.9,8,1,35.4,8,1,24.4,8,1
2017/8/20,62,8,1,1011.4,8,1,0,1,8,1,29.4,8,1,35.3,8,1,24.4,8,1
2017/8/21,61,8,1,1012.4,8,1,0,1,8,1,30.0,8,1,35.7,8,1,26.2,8,1
2017/8/22,67,8,1,1014.2,8,1,0.0,0,8,1,29.9,8,1,33.9,8,1,26.9,8,1
2017/8/23,72,8,1,1013.5,8,1,0.0,0,8,1,29.7,8,1,34.7,8,1,26.4,8,1
2017/8/24,65,8,1,1009.5,8,1,0,1,8,1,31.0,8,1,36.2,8,1,26.6,8,1
2017/8/25,64,8,1,1006.9,8,1,0,1,8,1,31.2,8,1,34.5,8,1,28.4,8,1
2017/8/26,62,8,1,1010.6,8,1,1.0,0,8,1,27.6,8,1,31.0,8,1,22.8,8,1
2017/8/27,57,8,1,1014.6,8,1,0,1,8,1,27.7,8,1,33.8,8,1,21.9,8,1
2017/8/28,68,8,1,1012.7,8,1,0.0,0,8,1,28.5,8,1,32.2,8,1,25.0,8,1
2017/8/29,64,8,1,1010.0,8,1,0.0,0,8,1,30.3,8,1,35.0,8,1,26.8,8,1
2017/8/30,63,8,1,1008.8,8,1,0.0,0,8,1,27.1,8,1,30.9,8,1,24.1,8,1
2017/8/31,49,8,1,1006.2,8,1,0,1,8,1,26.1,8,1,30.8,8,1,22.6,8,1
2018/6/1,60,8,1,1012.7,8,1,0,1,8,1,20.1,8,1,25.9,8,1,16.2,8,1
2018/6/2,51,8,1,1015.4,8,1,0,1,8,1,21.9,8,1,29.8,8,1,14.0,8,1
2018/6/3,54,8,1,1015.5,8,1,0,1,8,1,23.8,8,1,29.9,8,1,16.9,8,1
2018/6/4,50,8,1,1014.6,8,1,0,1,8,1,24.8,8,1,31.3,8,1,18.9,8,1
2018/6/5,61,8,1,1014.4,8,1,3.0,0,8,1,22.7,8,1,26.8,8,1,18.4,8,1
2018/6/6,91,8,1,1012.4,8,1,52.5,0,8,1,19.9,8,1,21.2,8,1,18.5,8,1
2018/6/7,72,8,1,1012.7,8,1,7.0,0,8,1,24.0,8,1,29.1,8,1,19.4,8,1
2018/6/8,82,8,1,1008.9,8,1,21.5,0,8,1,23.5,8,1,25.5,8,1,22.3,8,1
2018/6/9,64,8,1,1006.8,8,1,0.0,0,8,1,23.5,8,1,28.3,8,1,19.7,8,1
2018/6/10,76,8,1,1005.3,8,1,7.0,0,8,1,21.3,8,1,24.4,8,1,17.9,8,1
2018/6/11,82,8,1,996.2,8,1,4.5,0,8,1,22.9,8,1,28.1,8,1,20.4,8,1
2018/6/12,72,8,1,999.3,8,1,1.0,0,8,1,21.4,8,1,25.5,8,1,18.8,8,1
2018/6/13,64,8,1,1006.5,8,1,0.0,0,8,1,20.2,8,1,24.6,8,1,17.4,8,1
2018/6/14,62,8,1,1009.2,8,1,0,1,8,1,21.1,8,1,26.8,8,1,15.4,8,1
2018/6/15,78,8,1,1008.2,8,1,13.5,0,8,1,19.6,8,1,23.4,8,1,17.4,8,1
2018/6/16,56,8,1,1012.2,8,1,0,1,8,1,20.3,8,1,26.5,8,1,16.2,8,1
2018/6/17,62,8,1,1013.1,8,1,0,1,8,1,22.2,8,1,28.6,8,1,14.8,8,1
2018/6/18,66,8,1,1009.1,8,1,0.0,0,8,1,23.3,8,1,27.1,8,1,20.9,8,1
2018/6/19,76,8,1,1008.2,8,1,2.0,0,8,1,23.2,8,1,27.0,8,1,20.1,8,1
2018/6/20,92,8,1,1001.7,8,1,44.5,0,8,1,22.0,8,1,24.0,8,1,20.5,8,1
2018/6/21,69,8,1,1005.1,8,1,0.0,0,8,1,23.5,8,1,28.3,8,1,20.5,8,1
2018/6/22,57,8,1,1009.3,8,1,0,1,8,1,24.3,8,1,31.3,8,1,17.5,8,1
2018/6/23,76,8,1,1006.0,8,1,18.0,0,8,1,21.4,8,1,24.5,8,1,19.7,8,1
2018/6/24,66,8,1,1006.7,8,1,0.5,0,8,1,24.7,8,1,31.7,8,1,19.5,8,1
2018/6/25,57,8,1,1012.2,8,1,0,1,8,1,27.3,8,1,34.8,8,1,20.7,8,1
2018/6/26,63,8,1,1013.1,8,1,2.0,0,8,1,27.4,8,1,33.2,8,1,21.7,8,1
2018/6/27,67,8,1,1007.7,8,1,0.0,0,8,1,28.6,8,1,32.3,8,1,26.4,8,1
2018/6/28,68,8,1,1006.5,8,1,1.5,0,8,1,28.6,8,1,32.3,8,1,25.8,8,1
2018/6/29,78,8,1,1010.2,8,1,29.0,0,8,1,26.1,8,1,31.2,8,1,22.6,8,1
2018/6/30,72,8,1,1015.9,8,1,1.5,0,8,1,27.7,8,1,34.6,8,1,23.1,8,1
2018/7/1,61,8,1,1016.9,8,1,0.0,0,8,1,29.4,8,1,34.9,8,1,24.8,8,1
2018/7/2,72,8,1,1014.2,8,1,7.5,0,8,1,28.2,8,1,34.6,8,1,25.3,8,1
2018/7/3,65,8,1,1007.9,8,1,0.0,0,8,1,28.3,8,1,33.6,8,1,24.3,8,1
2018/7/4,78,8,1,1002.3,8,1,11.0,0,8,1,27.0,8,1,28.7,8,1,25.5,8,1
2018/7/5,93,8,1,1004.9,8,1,171.0,0,8,1,24.4,8,1,26.4,8,1,22.2,8,1
2018/7/6,96,8,1,1007.7,8,1,111.0,0,8,1,23.4,8,1,24.6,8,1,22.1,8,1
2018/7/7,93,8,1,1009.1,8,1,37.0,0,8,1,24.1,8,1,26.0,8,1,23.4,8,1
2018/7/8,72,8,1,1013.6,8,1,5.0,0,8,1,27.6,8,1,33.5,8,1,22.8,8,1
2018/7/9,69,8,1,1017.6,8,1,0.0,0,8,1,28.1,8,1,33.9,8,1,24.5,8,1
2018/7/10,63,8,1,1017.6,8,1,0,1,8,1,29.5,8,1,35.9,8,1,24.3,8,1
2018/7/11,61,8,1,1015.6,8,1,0.0,0,8,1,29.3,8,1,34.2,8,1,24.1,8,1
2018/7/12,62,8,1,1013.0,8,1,0.0,0,8,1,29.1,8,1,33.4,8,1,26.0,8,1
2018/7/13,61,8,1,1011.3,8,1,0,1,8,1,29.7,8,1,34.7,8,1,25.4,8,1
2018/7/14,58,8,1,1010.4,8,1,0,1,8,1,31.3,8,1,38.5,8,1,25.4,8,1
2018/7/15,55,8,1,1011.3,8,1,0,1,8,1,32.3,8,1,38.7,8,1,26.1,8,1
2018/7/16,58,8,1,1011.7,8,1,0,1,8,1,32.5,8,1,38.5,8,1,27.5,8,1
2018/7/17,60,8,1,1011.1,8,1,0.0,0,8,1,32.4,8,1,38.1,8,1,28.0,8,1
2018/7/18,57,8,1,1010.4,8,1,0,1,8,1,32.2,8,1,39.1,8,1,27.3,8,1
2018/7/19,53,8,1,1009.9,8,1,0,1,8,1,32.3,8,1,39.8,8,1,26.1,8,1
2018/7/20,59,8,1,1010.7,8,1,0.0,0,8,1,31.9,8,1,38.6,8,1,28.5,8,1
2018/7/21,56,8,1,1011.2,8,1,0,1,8,1,32.0,8,1,37.7,8,1,28.3,8,1
2018/7/22,55,8,1,1010.0,8,1,0,1,8,1,32.4,8,1,38.2,8,1,26.9,8,1
2018/7/23,56,8,1,1007.7,8,1,0,1,8,1,32.5,8,1,38.7,8,1,27.8,8,1
2018/7/24,54,8,1,1007.0,8,1,0,1,8,1,31.5,8,1,37.7,8,1,27.2,8,1
2018/7/25,58,8,1,1007.3,8,1,0,1,8,1,31.4,8,1,38.5,8,1,25.0,8,1
2018/7/26,59,8,1,1006.9,8,1,0.0,0,8,1,31.8,8,1,37.0,8,1,28.7,8,1
2018/7/27,59,8,1,1006.0,8,1,0,1,8,1,30.4,8,1,35.8,8,1,26.9,8,1
2018/7/28,63,8,1,1000.3,8,1,0.5,0,8,1,29.1,8,1,34.1,8,1,26.4,8,1
2018/7/29,73,8,1,999.0,8,1,25.5,0,8,1,28.1,8,1,32.1,8,1,25.3,8,1
2018/7/30,61,8,1,1006.3,8,1,0.0,0,8,1,29.7,8,1,34.5,8,1,26.4,8,1
2018/7/31,59,8,1,1005.5,8,1,0,1,8,1,30.9,8,1,36.3,8,1,26.9,8,1
2018/8/1,57,8,1,1004.6,8,1,0,1,8,1,31.2,8,1,37.2,8,1,25.8,8,1
2018/8/2,66,8,1,1006.4,8,1,0.0,0,8,1,30.8,8,1,37.7,8,1,26.8,8,1
2018/8/3,52,8,1,1007.5,8,1,0,1,8,1,31.4,8,1,38.9,8,1,25.5,8,1
2018/8/4,49,8,1,1007.0,8,1,0,1,8,1,31.1,8,1,37.7,8,1,25.0,8,1
2018/8/5,50,8,1,1005.5,8,1,0,1,8,1,32.1,8,1,39.5,8,1,25.9,8,1
2018/8/6,58,8,1,1004.6,8,1,0,1,8,1,31.3,8,1,36.1,8,1,28.2,8,1
2018/8/7,57,8,1,1005.8,8,1,0,1,8,1,29.0,8,1,34.8,8,1,25.3,8,1
2018/8/8,65,8,1,1003.3,8,1,0,1,8,1,27.0,8,1,31.7,8,1,23.8,8,1
2018/8/9,73,8,1,1001.4,8,1,0.0,0,8,1,28.1,8,1,32.5,8,1,25.7,8,1
2018/8/10,70,8,1,1003.1,8,1,0.0,0,8,1,29.4,8,1,34.6,8,1,26.2,8,1
2018/8/11,63,8,1,1005.0,8,1,0.0,0,8,1,30.7,8,1,37.0,8,1,25.9,8,1
2018/8/12,64,8,1,1009.2,8,1,0.0,0,8,1,31.0,8,1,37.3,8,1,27.4,8,1
2018/8/13,68,8,1,1011.9,8,1,18.0,0,8,1,29.9,8,1,37.9,8,1,26.7,8,1
2018/8/14,66,8,1,1012.4,8,1,0,1,8,1,30.6,8,1,36.7,8,1,26.1,8,1
2018/8/15,70,8,1,1012.5,8,1,0.5,0,8,1,29.4,8,1,32.5,8,1,27.3,8,1
2018/8/16,77,8,1,1008.9,8,1,7.5,0,8,1,27.8,8,1,30.6,8,1,25.2,8,1
2018/8/17,52,8,1,1010.6,8,1,0,1,8,1,25.1,8,1,29.7,8,1,21.8,8,1
2018/8/18,49,8,1,1011.4,8,1,0,1,8,1,25.5,8,1,32.7,8,1,18.6,8,1
2018/8/19,52,8,1,1012.8,8,1,0,1,8,1,26.7,8,1,31.7,8,1,22.4,8,1
2018/8/20,61,8,1,1010.7,8,1,0.0,0,8,1,27.4,8,1,32.6,8,1,23.4,8,1
2018/8/21,65,8,1,1009.1,8,1,0.0,0,8,1,30.5,8,1,35.6,8,1,27.7,8,1
2018/8/22,54,8,1,1011.1,8,1,0,1,8,1,31.7,8,1,38.0,8,1,27.7,8,1
2018/8/23,71,8,1,1005.3,8,1,13.5,0,8,1,29.0,8,1,31.9,8,1,25.6,8,1
2018/8/24,71,8,1,1006.2,8,1,37.5,0,8,1,29.6,8,1,33.8,8,1,25.5,8,1
2018/8/25,64,8,1,1011.9,8,1,0.0,0,8,1,30.5,8,1,34.8,8,1,28.2,8,1
2018/8/26,61,8,1,1013.2,8,1,0,1,8,1,30.7,8,1,36.6,8,1,26.7,8,1
2018/8/27,63,8,1,1012.9,8,1,0,1,8,1,30.0,8,1,36.4,8,1,25.9,8,1
2018/8/28,67,8,1,1012.8,8,1,0.0,0,8,1,29.0,8,1,33.2,8,1,25.3,8,1
2018/8/29,66,8,1,1012.5,8,1,0.0,0,8,1,29.9,8,1,36.2,8,1,25.7,8,1
2018/8/30,61,8,1,1012.6,8,1,0,1,8,1,29.6,8,1,35.1,8,1,25.7,8,1
2018/8/31,76,8,1,1010.9,8,1,35.5,0,8,1,28.2,8,1,33.7,8,1,24.2,8,1
2019/6/1,52,8,1,1010.0,8,1,0,1,8,1,22.7,8,1,28.4,8,1,17.1,8,1
2019/6/2,59,8,1,1009.8,8,1,0.0,0,8,1,21.5,8,1,24.1,8,1,17.9,8,1
2019/6/3,55,8,1,1009.0,8,1,0,1,8,1,24.8,8,1,30.9,8,1,20.2,8,1
2019/6/4,64,8,1,1010.9,8,1,0,1,8,1,24.8,8,1,30.9,8,1,20.4,8,1
2019/6/5,59,8,1,1010.3,8,1,0.0,0,8,1,26.0,8,1,31.7,8,1,22.5,8,1
2019/6/6,47,8,1,1012.6,8,1,0,1,8,1,26.2,8,1,31.5,8,1,21.1,8,1
2019/6/7,80,8,1,1005.0,8,1,26.0,0,8,1,21.3,8,1,24.1,8,1,19.1,8,1
2019/6/8,73,8,1,1003.6,8,1,0.0,0,8,1,21.3,8,1,25.3,8,1,18.7,8,1
2019/6/9,65,8,1,1005.3,8,1,0.0,0,8,1,21.5,8,1,26.4,8,1,17.2,8,1
2019/6/10,76,8,1,1003.4,8,1,2.0,0,8,1,21.1,8,1,24.5,8,1,19.2,8,1
2019/6/11,69,8,1,1005.3,8,1,2.0,0,8,1,21.3,8,1,26.5,8,1,17.9,8,1
2019/6/12,63,8,1,1007.9,8,1,0.0,0,8,1,21.8,8,1,27.0,8,1,18.4,8,1
2019/6/13,58,8,1,1011.3,8,1,0,1,8,1,23.8,8,1,30.8,8,1,17.0,8,1
2019/6/14,71,8,1,1009.4,8,1,2.0,0,8,1,22.6,8,1,26.0,8,1,19.8,8,1
2019/6/15,78,8,1,994.0,8,1,15.0,0,8,1,20.4,8,1,23.7,8,1,18.0,8,1
2019/6/16,70,8,1,1002.0,8,1,0.0,0,8,1,20.3,8,1,24.1,8,1,17.3,8,1
2019/6/17,57,8,1,1012.2,8,1,0.0,0,8,1,21.4,8,1,27.0,8,1,17.2,8,1
2019/6/18,53,8,1,1011.9,8,1,0,1,8,1,22.8,8,1,28.0,8,1,16.9,8,1
2019/6/19,60,8,1,1006.8,8,1,0,1,8,1,24.5,8,1,30.5,8,1,18.8,8,1
2019/6/20,56,8,1,1005.7,8,1,0,1,8,1,26.2,8,1,33.2,8,1,20.7,8,1
2019/6/21,64,8,1,1007.4,8,1,17.5,0,8,1,24.6,8,1,33.0,8,1,20.9,8,1
2019/6/22,65,8,1,1003.9,8,1,2.5,0,8,1,24.8,8,1,31.3,8,1,21.2,8,1
2019/6/23,64,8,1,1005.5,8,1,1.0,0,8,1,22.9,8,1,26.3,8,1,19.4,8,1
2019/6/24,58,8,1,1010.3,8,1,0,1,8,1,23.6,8,1,30.5,8,1,19.4,8,1
2019/6/25,53,8,1,1016.0,8,1,0,1,8,1,24.8,8,1,32.1,8,1,18.2,8,1
2019/6/26,59,8,1,1014.2,8,1,0.0,0,8,1,26.0,8,1,31.7,8,1,20.7,8,1
